selection,target_alerts_per_10k,capacity_n,alerts,actual_alerts_per_10k,precision,recall,legit_flag_rate,legit_alerts_per_10k,fraud_value_recall,fraud_alerts,legit_alerts,boundary_score,boundary_tie_n,boundary_tie_selected_n,tie_breaker,profile,alpha,amount_scale
aggregate_validation,10.0,123,123,9.953066839294383,1.0,0.0743651753325272,0.0,0.0,0.33931059980521733,123,0,2.1325507377672577,1,1,stable_non_label_event_key,case_first,0.25,70390.74
aggregate_validation,25.0,308,308,24.923126719533904,0.8863636363636364,0.16505441354292624,0.00028705936387644963,2.8705936387644964,0.6099081196578919,273,35,0.8302955243729521,1,1,stable_non_label_event_key,case_first,0.25,70390.74
aggregate_validation,50.0,617,617,49.9271726816637,0.6175040518638574,0.23035066505441354,0.0019356002821383463,19.356002821383463,0.7770207781145293,381,236,0.6478272007571699,1,1,stable_non_label_event_key,case_first,0.25,70390.74
aggregate_validation,100.0,1235,1235,99.9352646059233,0.43238866396761133,0.32285368802902054,0.005749388973639749,57.49388973639749,0.8758101948398778,534,701,0.18287216040996757,1,1,stable_non_label_event_key,case_first,0.25,70390.74
aggregate_validation,10.0,123,123,9.953066839294383,1.0,0.0743651753325272,0.0,0.0,0.33931059980521733,123,0,2.1325507377672577,1,1,stable_non_label_event_key,balanced,0.25,70390.74
aggregate_validation,25.0,308,308,24.923126719533904,0.8863636363636364,0.16505441354292624,0.00028705936387644963,2.8705936387644964,0.6099081196578919,273,35,0.8302955243729521,1,1,stable_non_label_event_key,balanced,0.25,70390.74
aggregate_validation,50.0,617,617,49.9271726816637,0.6175040518638574,0.23035066505441354,0.0019356002821383463,19.356002821383463,0.7770207781145293,381,236,0.6478272007571699,1,1,stable_non_label_event_key,balanced,0.25,70390.74
aggregate_validation,100.0,1235,1235,99.9352646059233,0.43238866396761133,0.32285368802902054,0.005749388973639749,57.49388973639749,0.8758101948398778,534,701,0.18287216040996757,1,1,stable_non_label_event_key,balanced,0.25,70390.74
aggregate_validation,10.0,123,123,9.953066839294383,1.0,0.0743651753325272,0.0,0.0,0.33931059980521733,123,0,2.1325507377672577,1,1,stable_non_label_event_key,value_first,0.25,70390.74
aggregate_validation,25.0,308,308,24.923126719533904,0.8863636363636364,0.16505441354292624,0.00028705936387644963,2.8705936387644964,0.6099081196578919,273,35,0.8302955243729521,1,1,stable_non_label_event_key,value_first,0.25,70390.74
aggregate_validation,50.0,617,617,49.9271726816637,0.6175040518638574,0.23035066505441354,0.0019356002821383463,19.356002821383463,0.7770207781145293,381,236,0.6478272007571699,1,1,stable_non_label_event_key,value_first,0.25,70390.74
aggregate_validation,100.0,1235,1235,99.9352646059233,0.43238866396761133,0.32285368802902054,0.005749388973639749,57.49388973639749,0.8758101948398778,534,701,0.18287216040996757,1,1,stable_non_label_event_key,value_first,0.25,70390.74
robust_validation_windows,10.0,123,123,9.953066839294383,1.0,0.0743651753325272,0.0,0.0,0.33931059980521733,123,0,2.1325507377672577,1,1,stable_non_label_event_key,case_first,0.25,70390.74
robust_validation_windows,25.0,308,308,24.923126719533904,0.8863636363636364,0.16505441354292624,0.00028705936387644963,2.8705936387644964,0.6099081196578919,273,35,0.8302955243729521,1,1,stable_non_label_event_key,case_first,0.25,70390.74
robust_validation_windows,50.0,617,617,49.9271726816637,0.6175040518638574,0.23035066505441354,0.0019356002821383463,19.356002821383463,0.7770207781145293,381,236,0.6478272007571699,1,1,stable_non_label_event_key,case_first,0.25,70390.74
robust_validation_windows,100.0,1235,1235,99.9352646059233,0.43238866396761133,0.32285368802902054,0.005749388973639749,57.49388973639749,0.8758101948398778,534,701,0.18287216040996757,1,1,stable_non_label_event_key,case_first,0.25,70390.74
robust_validation_windows,10.0,123,123,9.953066839294383,1.0,0.0743651753325272,0.0,0.0,0.33931059980521733,123,0,2.1325507377672577,1,1,stable_non_label_event_key,balanced,0.25,70390.74
robust_validation_windows,25.0,308,308,24.923126719533904,0.8863636363636364,0.16505441354292624,0.00028705936387644963,2.8705936387644964,0.6099081196578919,273,35,0.8302955243729521,1,1,stable_non_label_event_key,balanced,0.25,70390.74
robust_validation_windows,50.0,617,617,49.9271726816637,0.6175040518638574,0.23035066505441354,0.0019356002821383463,19.356002821383463,0.7770207781145293,381,236,0.6478272007571699,1,1,stable_non_label_event_key,balanced,0.25,70390.74
robust_validation_windows,100.0,1235,1235,99.9352646059233,0.43238866396761133,0.32285368802902054,0.005749388973639749,57.49388973639749,0.8758101948398778,534,701,0.18287216040996757,1,1,stable_non_label_event_key,balanced,0.25,70390.74
robust_validation_windows,10.0,123,123,9.953066839294383,1.0,0.0743651753325272,0.0,0.0,0.33931059980521733,123,0,2.1325507377672577,1,1,stable_non_label_event_key,value_first,0.25,70390.74
robust_validation_windows,25.0,308,308,24.923126719533904,0.8863636363636364,0.16505441354292624,0.00028705936387644963,2.8705936387644964,0.6099081196578919,273,35,0.8302955243729521,1,1,stable_non_label_event_key,value_first,0.25,70390.74
robust_validation_windows,50.0,617,617,49.9271726816637,0.6175040518638574,0.23035066505441354,0.0019356002821383463,19.356002821383463,0.7770207781145293,381,236,0.6478272007571699,1,1,stable_non_label_event_key,value_first,0.25,70390.74
robust_validation_windows,100.0,1235,1235,99.9352646059233,0.43238866396761133,0.32285368802902054,0.005749388973639749,57.49388973639749,0.8758101948398778,534,701,0.18287216040996757,1,1,stable_non_label_event_key,value_first,0.25,70390.74
