max_pending_cases,arrival_cycle,arrival_step_min,arrival_step_max,transactions,alerts,fraud_alerts,precision,fraud_recall,fraud_value_recall,balanced_hmean,fraud_value_captured,review_delay_mean_steps,review_delay_p50_steps,review_delay_p90_steps,review_delay_max_steps,fraud_review_delay_mean_steps,fraud_review_delay_p90_steps
0,1,595,644,42416,212,47,0.22169811320754718,0.08514492753623189,0.2944657433861929,0.13209462379756803,215373935.32000002,0.0,0.0,0.0,0,0.0,0.0
0,2,645,694,66772,333,63,0.1891891891891892,0.11538461538461539,0.31173936111332157,0.16842850442267351,318775839.46,0.0,0.0,0.0,0,0.0,0.0
0,3,695,743,14392,72,34,0.4722222222222222,0.06115107913669065,0.21658905528142142,0.09537443688074741,209757220.7,0.0,0.0,0.0,0,0.0,0.0
5000,1,595,644,42416,236,119,0.5042372881355932,0.21557971014492755,0.7203416991028347,0.3318463562505903,526862054.4000001,8.419491525423728,0.0,22.0,95,14.521008403361344,58.60000000000001
5000,2,645,694,66772,321,146,0.45482866043613707,0.2673992673992674,0.8189746854809593,0.40316362581328946,837460312.77,9.208722741433021,5.0,29.0,48,7.089041095890411,19.0
5000,3,695,743,14392,60,60,1.0,0.1079136690647482,0.37324472436742717,0.16742182289802393,361471524.6,3.45,1.0,11.0,18,3.45,11.0
10000,1,595,644,42416,236,119,0.5042372881355932,0.21557971014492755,0.7203416991028347,0.3318463562505903,526862054.4000001,8.419491525423728,0.0,22.0,95,14.521008403361344,58.60000000000001
10000,2,645,694,66772,321,146,0.45482866043613707,0.2673992673992674,0.8189746854809593,0.40316362581328946,837460312.77,9.208722741433021,5.0,29.0,48,7.089041095890411,19.0
10000,3,695,743,14392,60,60,1.0,0.1079136690647482,0.37324472436742717,0.16742182289802393,361471524.6,3.45,1.0,11.0,18,3.45,11.0
25000,1,595,644,42416,236,119,0.5042372881355932,0.21557971014492755,0.7203416991028347,0.3318463562505903,526862054.4000001,8.419491525423728,0.0,22.0,95,14.521008403361344,58.60000000000001
25000,2,645,694,66772,321,146,0.45482866043613707,0.2673992673992674,0.8189746854809593,0.40316362581328946,837460312.77,9.208722741433021,5.0,29.0,48,7.089041095890411,19.0
25000,3,695,743,14392,60,60,1.0,0.1079136690647482,0.37324472436742717,0.16742182289802393,361471524.6,3.45,1.0,11.0,18,3.45,11.0
50000,1,595,644,42416,236,119,0.5042372881355932,0.21557971014492755,0.7203416991028347,0.3318463562505903,526862054.4000001,8.419491525423728,0.0,22.0,95,14.521008403361344,58.60000000000001
50000,2,645,694,66772,321,146,0.45482866043613707,0.2673992673992674,0.8189746854809593,0.40316362581328946,837460312.77,9.208722741433021,5.0,29.0,48,7.089041095890411,19.0
50000,3,695,743,14392,60,60,1.0,0.1079136690647482,0.37324472436742717,0.16742182289802393,361471524.6,3.45,1.0,11.0,18,3.45,11.0
100000,1,595,644,42416,236,119,0.5042372881355932,0.21557971014492755,0.7203416991028347,0.3318463562505903,526862054.4000001,8.419491525423728,0.0,22.0,95,14.521008403361344,58.60000000000001
100000,2,645,694,66772,321,146,0.45482866043613707,0.2673992673992674,0.8189746854809593,0.40316362581328946,837460312.77,9.208722741433021,5.0,29.0,48,7.089041095890411,19.0
100000,3,695,743,14392,60,60,1.0,0.1079136690647482,0.37324472436742717,0.16742182289802393,361471524.6,3.45,1.0,11.0,18,3.45,11.0
infinite,1,595,644,42416,236,119,0.5042372881355932,0.21557971014492755,0.7203416991028347,0.3318463562505903,526862054.4000001,8.419491525423728,0.0,22.0,95,14.521008403361344,58.60000000000001
infinite,2,645,694,66772,321,146,0.45482866043613707,0.2673992673992674,0.8189746854809593,0.40316362581328946,837460312.77,9.208722741433021,5.0,29.0,48,7.089041095890411,19.0
infinite,3,695,743,14392,60,60,1.0,0.1079136690647482,0.37324472436742717,0.16742182289802393,361471524.6,3.45,1.0,11.0,18,3.45,11.0
