transaction_id,timestamp,sender,recipient,type,amount,sender_tx_1h,sender_tx_24h,recipient_fanin_24h,device_activity_24h,device_unique_senders_24h,is_fraud,fraud_type,model_score,anomaly_score,priority_percentile,reason_codes
17978,2026-02-23 20:08:36+00:00,C205,M2274,TRANSFER,1796.7252751889325,0.0,0.0,0.0,0.0,0.0,1,account_takeover,0.9629251330759769,0.0,1.0,HIGH_MODEL_RISK
16825,2026-02-20 05:49:50+00:00,C199,C4940,TRANSFER,726.032982753499,0.0,0.0,0.0,0.0,0.0,1,account_takeover,0.9558042138698977,0.0,0.999741468459152,HIGH_MODEL_RISK
17583,2026-02-22 13:49:29+00:00,C62,M639,TRANSFER,336.92268337597176,0.0,0.0,0.0,0.0,0.0,1,account_takeover,0.94283458776494,0.0,0.999482936918304,HIGH_MODEL_RISK
17242,2026-02-21 10:28:41+00:00,C3934,C6107,DEBIT,264.541259221961,1.0,1.0,0.0,0.0,0.0,0,legitimate,0.0019163775507824927,693147.1805599453,0.999224405377456,BEHAVIOURAL_TAIL
17762,2026-02-23 02:21:24+00:00,C13796,C3369,CASH_IN,226.5031628780256,1.0,1.0,0.0,0.0,0.0,0,legitimate,0.0005006023827487217,693147.1805599453,0.999224405377456,BEHAVIOURAL_TAIL
16811,2026-02-20 04:45:45+00:00,C9265,C5395,CASH_IN,185.86211129188018,1.0,1.0,0.0,0.0,0.0,0,legitimate,0.0057037288013905545,693147.1805599453,0.999224405377456,BEHAVIOURAL_TAIL
16196,2026-02-18 03:57:47+00:00,C8410,C4205,CASH_IN,124.28539764897117,1.0,1.0,0.0,0.0,0.0,0,legitimate,0.0020548433815314004,693147.1805599453,0.999224405377456,BEHAVIOURAL_TAIL
16986,2026-02-20 17:43:31+00:00,C136,M772,TRANSFER,115.28745396447114,0.0,0.0,0.0,0.0,0.0,1,account_takeover,0.9180768439918285,0.0,0.999224405377456,HIGH_MODEL_RISK
17297,2026-02-21 15:12:41+00:00,C4958,M2078,PAYMENT,55.42926681994695,1.0,1.0,0.0,0.0,0.0,0,legitimate,0.0011744903242552648,693147.1805599453,0.999224405377456,BEHAVIOURAL_TAIL
17491,2026-02-22 06:47:26+00:00,C2375,M552,PAYMENT,55.15116183763958,1.0,1.0,0.0,0.0,0.0,0,legitimate,0.0009244931923335032,693147.1805599453,0.999224405377456,BEHAVIOURAL_TAIL
16610,2026-02-19 13:26:01+00:00,C5135,M8,PAYMENT,15.872865422035991,1.0,1.0,0.0,0.0,0.0,0,legitimate,0.0005650343884476731,693147.1805599453,0.999224405377456,BEHAVIOURAL_TAIL
19399,2026-02-28 05:42:30+00:00,C192,C7113,TRANSFER,259.95585639857035,0.0,0.0,0.0,0.0,0.0,1,account_takeover,0.9165840553073065,0.0,0.9989658738366081,HIGH_MODEL_RISK
16499,2026-02-19 04:27:55+00:00,C130,C8402,TRANSFER,497.83700194737565,0.0,0.0,0.0,0.0,0.0,1,account_takeover,0.9163501802389392,0.0,0.9987073422957601,HIGH_MODEL_RISK
19056,2026-02-27 04:32:01+00:00,C2,C3467,TRANSFER,382.98595758515665,0.0,0.0,0.0,0.0,0.0,1,account_takeover,0.9102880012851542,0.0,0.9984488107549121,HIGH_MODEL_RISK
16816,2026-02-20 05:12:30+00:00,C182,C7339,TRANSFER,642.4485636912538,0.0,0.0,0.0,0.0,0.0,1,account_takeover,0.8554890254275797,0.0,0.9981902792140641,HIGH_MODEL_RISK
16758,2026-02-20 00:57:35+00:00,C335,M211,PAYMENT,43.012014273908946,0.0,0.0,0.0,3.0,3.0,1,novel_shared_device_microburst,0.0009287198564414499,2.0,0.9981902792140641,BEHAVIOURAL_TAIL|SHARED_DEVICE
19939,2026-03-01 20:06:29+00:00,C148,C277,TRANSFER,150.3430208955633,0.0,0.0,0.0,0.0,0.0,1,account_takeover,0.8503645187397117,0.0,0.9979317476732161,HIGH_MODEL_RISK
16505,2026-02-19 04:38:04+00:00,C122,C3806,TRANSFER,76.16311560232315,0.0,0.0,0.0,0.0,0.0,1,account_takeover,0.8352908043395779,0.0,0.9976732161323681,HIGH_MODEL_RISK
17517,2026-02-22 08:50:23+00:00,C189,M694,TRANSFER,124.44957969307593,0.0,0.0,0.0,0.0,0.0,1,account_takeover,0.7760306770317461,0.0,0.9974146845915202,HIGH_MODEL_RISK
17613,2026-02-22 16:18:24+00:00,C174,M1754,TRANSFER,898.8106287742323,0.0,0.0,0.0,0.0,0.0,1,account_takeover,0.7290044522843596,0.0,0.9971561530506722,HIGH_MODEL_RISK
16864,2026-02-20 08:47:25+00:00,C10686,C132,TRANSFER,111.33350201890869,0.0,0.0,0.0,0.0,0.0,0,legitimate,0.7206373257338896,0.0,0.9968976215098242,HIGH_MODEL_RISK
